service_id,operator_id,operator_name,line_name,description
14375,FLON,First Bus London,31,Camden Town - Swiss Cottage - Notting Hill Gate - Holland Park - White City
14639,FLON,First Bus London,326,Barnet - East Barnet - Whetstone - Finchley - Brent Cross
14338,FLON,First Bus London,33,"Fulwell - Teddington - Twickenham - Richmond - Barnes Station and Red Lion - Castelnau, Lonsdale Road"
14640,FLON,First Bus London,340,Edgware - Canons Park - Marsh Lane - Stanmore - Harrow Weald - Wealdstone - Harrow
14339,FLON,First Bus London,371,"Richmond, Manor Circus - Richmond Town Centre and Station - Richmond Hill - Norbiton - Kingston"
14641,FLON,First Bus London,395,"Harrow - South Harrow - Racecourse Estate - Oldfields Circus - Greenford, Westway Cross"
14642,FLON,First Bus London,398,"Ruislip - Southbourne Gardens - Alexandra Avenue - South Harrow - Wood End, Lilian Board Way"
8329,FLON,First Bus London,406,Cromwell Road Bus Station - Epsom Hospital or Epsom High Street
8330,FLON,First Bus London,411,Cromwell Road Bus Station or Kingston Station - Central Square / West Molesey
8331,FLON,First Bus London,418,Cromwell Road Bus Station - Epsom Library
14340,FLON,First Bus London,419,"Richmond - Mortlake - Barnes Bridge - Lonsdale Road - Castelnau - Barnes Station - Roehampton, Bessborough Road"
14341,FLON,First Bus London,423,"Hounslow, Bus Station - Hatton Cross - Harlington Corner - Bath Road - Heathrow Terminal 5"
14342,FLON,First Bus London,440,"Turnham Green, Church - South, Central and North Acton - Park Royal & Central Middlesex Hospital - Stonebridge Park - Wembley, First Way"
14376,FLON,First Bus London,452,Notting Hill Gate - Knightsbridge - Battersea Park - Wandsworth Road - Vauxhall
8333,FLON,First Bus London,467,Hinchley Wood School - Epsom Hospital
14343,FLON,First Bus London,49,Clapham Junction - Chelsea - South Kensington - Shepherd's Bush - White City
14344,FLON,First Bus London,613,Tolworth - Worcester Park - Collingwood Road - Sutton Common - Glenthorne High School
14345,FLON,First Bus London,65,Kingston - Ham - Petersham - Richmond - Kew - Brentford - South Ealing - Ealing Broadway
14346,FLON,First Bus London,662,Surbiton Station - Broomfield Road - Tolworth - New Malden - Holy Cross School
14347,FLON,First Bus London,665,Surbiton - Pine Gardens - Tolworth - New Malden - Holy Cross School
14348,FLON,First Bus London,681,Hounslow - Whitton - Twickenham - Fulwell - Teddington School
14349,FLON,First Bus London,695,Cherry Lane School - West Drayton Station - Hillingdon - Douay Martyrs School
14350,FLON,First Bus London,696,"Hayes, Bourne Avenue - Hayes - Yeading - Ruislip Manor - Bishop Ramsey School"
14351,FLON,First Bus London,698,"Hayes, Bourne Avenue - Hayes & Harlington Station - Church Road - Hayes End - Hillingdon Station - Long Lane - Ickenham"
14352,FLON,First Bus London,70,"Chiswick, Business Park - Acton Town - East Acton - St Quintin Park - Ladbroke Grove - Bayswater - Queensway - Notting Hill Gate - South Kensington"
14353,FLON,First Bus London,71,Chessington - Copt Gilders - Hook - Surbiton - Kingston
14354,FLON,First Bus London,72,"East Acton - Du Cane Road - Hammersmith Hospital - White CIty Estate - Shepherds Bush - Hammersmith - Hammersmith Bridge, North Side"
14643,FLON,First Bus London,79,Stonebridge Park Station - Wembley Central - Preston Road - Queensbury  - Edgware Station
14355,FLON,First Bus London,85,Putney - Putney Heath - Roehampton - Roehampton Vale - Kingston
14356,FLON,First Bus London,94,Acton Green - Shepherd's Bush - Notting Hill Gate - Oxford Circus - Piccadilly Circus
14357,FLON,First Bus London,C1,Victoria - Knightsbridge - South Kensington - Holland Road - White City
14358,FLON,First Bus London,E3,"Greenford Broadway - West Ealing - Northfields - Turnham Green - Chiswick, Edensor Road"
