id,fleet_code,fleet_number,reg,livery_id,slug
3782189,154,154,YX60FTZ,4140,tflo-yx60ftz
3776365,2433,2433,SN61CYT,4140,tflo-sn61cyt
3779009,SE61,,YX60DXW,4140,tflo-yx60dxw
3777572,10184,10184,SN63NBD,4140,tflo-sn63nbd
3783807,E213,,SN61DDK,4140,tflo-sn61ddk
3777248,T285,,LJ13CGG,4140,tflo-lj13cgg
3778513,WVN39,,BV10WWA,4140,tflo-bv10wwa
3782898,2409,2409,SN61DGE,4140,tflo-sn61dge
3780157,TE1444,,LK13BFU,4140,tflo-lk13bfu
3776835,WVL489,,LJ61NWB,4140,tflo-lj61nwb
3783773,158,158,YX60FVA,4140,tflo-yx60fva
3781034,E198,,SN61BKD,4140,tflo-sn61bkd
3785273,36571,36571,LX13CZO,4140,tflo-lx13czo
3780112,VW1381,,LK62DRV,4140,tflo-lk62drv
3783960,T164,,LJ60AVP,4140,tflo-lj60avp
3779887,DE1159,,LK11CWP,4140,tflo-lk11cwp
3777295,T151,,LJ60AVY,4140,tflo-lj60avy
3781046,WVL449,,LJ61GWK,4140,tflo-lj61gwk
3776922,WVL292,,LX59CZK,4140,tflo-lx59czk
3777488,T165,,LJ60AUO,4140,tflo-lj60auo
3781729,ADE40492,,SN13CHD,4140,tflo-sn13chd
3786577,2411,2411,SN61DGO,4140,tflo-sn61dgo
3784413,WVN37,,BV10WVK,4140,tflo-bv10wvk
3785834,12272,12272,SN14TWK,4140,tflo-sn14twk
3779732,VW1395,,LK62DVC,4140,tflo-lk62dvc
3784433,T185,,LJ60ASX,4140,tflo-lj60asx
3776413,8583,8583,YX62DAU,4140,tflo-yx62dau
3782956,EH28,,YX13BJY,4140,tflo-yx13bjy
3783542,10113,10113,LX12DCZ,4140,tflo-lx12dcz
3786093,DE1172,,LK11CXE,4140,tflo-lk11cxe
3780643,T308,,LK65ENW,4140,tflo-lk65enw
3776315,2442,2442,SN12AUK,4140,tflo-sn12auk
3779341,HV27,,LJ11EFT,4140,tflo-lj11eft
3780548,DE1167,,LK11CWZ,4140,tflo-lk11cwz
